City,Date,Max Temperature (F)
Los Angeles,2015-02-06,67.64
Los Angeles,2015-02-07,65.48
Los Angeles,2015-02-08,67.46
Los Angeles,2015-02-09,66.74000000000001
Los Angeles,2015-02-10,68.72
Los Angeles,2015-02-11,73.58
Los Angeles,2015-02-12,74.3
Los Angeles,2015-02-13,73.58
Los Angeles,2015-02-14,70.7
Los Angeles,2015-02-15,72.14
Los Angeles,2015-02-16,75.92
Los Angeles,2015-02-17,70.88
Los Angeles,2015-02-18,73.58
Los Angeles,2015-02-19,70.88
Los Angeles,2015-02-20,69.25999999999999
Los Angeles,2015-02-21,66.02
Los Angeles,2015-02-22,63.68
Los Angeles,2015-02-23,66.92
Los Angeles,2015-02-24,75.2
Los Angeles,2015-02-25,73.4
Los Angeles,2015-02-26,70.88
Los Angeles,2015-02-27,68.0
Los Angeles,2015-02-28,64.75999999999999
Los Angeles,2015-03-01,58.459999999999994
Los Angeles,2015-03-02,60.08
Los Angeles,2015-03-03,66.92
Los Angeles,2015-03-04,65.66
Los Angeles,2015-03-05,65.3
Los Angeles,2015-03-06,68.54
Los Angeles,2015-03-07,70.88
Los Angeles,2015-03-08,68.18
Los Angeles,2015-03-09,70.16
Los Angeles,2015-03-10,70.52
Los Angeles,2015-03-11,72.14
Los Angeles,2015-03-12,75.56
Los Angeles,2015-03-13,75.56
Los Angeles,2015-03-14,73.75999999999999
Los Angeles,2015-03-15,72.68
Los Angeles,2015-03-16,69.44
Los Angeles,2015-03-17,69.8
Los Angeles,2015-03-18,71.96
Los Angeles,2015-03-19,75.2
Los Angeles,2015-03-20,84.02
Los Angeles,2015-03-21,84.2
Los Angeles,2015-03-22,84.74
Los Angeles,2015-03-23,87.44
Los Angeles,2015-03-24,82.4
Los Angeles,2015-03-25,83.3
Los Angeles,2015-03-26,83.84
Los Angeles,2015-03-27,87.8
Los Angeles,2015-03-28,85.82
Los Angeles,2015-03-29,83.84
Los Angeles,2015-03-30,89.24
Los Angeles,2015-03-31,86.9
Los Angeles,2015-04-01,74.12
Los Angeles,2015-04-02,71.96
Los Angeles,2015-04-03,75.74000000000001
Los Angeles,2015-04-04,77.9
Los Angeles,2015-04-05,80.6
Los Angeles,2015-04-06,78.98
Los Angeles,2015-04-07,74.84
Los Angeles,2015-04-08,71.6
Los Angeles,2015-04-09,68.9
Los Angeles,2015-04-10,71.06
Los Angeles,2015-04-11,73.04
Los Angeles,2015-04-12,78.44
Los Angeles,2015-04-13,76.28
Los Angeles,2015-04-14,73.04
Los Angeles,2015-04-15,69.8
Los Angeles,2015-04-16,69.08
Los Angeles,2015-04-17,74.84
Los Angeles,2015-04-18,76.1
Los Angeles,2015-04-19,73.58
Los Angeles,2015-04-20,73.04
Los Angeles,2015-04-21,73.4
Los Angeles,2015-04-22,72.32
Los Angeles,2015-04-23,73.4
Los Angeles,2015-04-24,69.8
Los Angeles,2015-04-25,67.64
Los Angeles,2015-04-26,68.0
Los Angeles,2015-04-27,70.16
Los Angeles,2015-04-28,65.3
Los Angeles,2015-04-29,64.94
Los Angeles,2015-04-30,67.46
Los Angeles,2015-05-01,71.06
Los Angeles,2015-05-02,74.48
Los Angeles,2015-05-03,72.32
Los Angeles,2015-05-04,68.54
Los Angeles,2015-05-05,70.16
Los Angeles,2015-05-06,73.94
Los Angeles,2015-05-07,73.94
Los Angeles,2015-05-08,76.82
Los Angeles,2015-05-09,76.82
Los Angeles,2015-05-10,74.12
Los Angeles,2015-05-11,71.6
Los Angeles,2015-05-12,64.75999999999999
Los Angeles,2015-05-13,66.38
Los Angeles,2015-05-14,69.08
Los Angeles,2015-05-15,69.08
Los Angeles,2015-05-16,68.72
Los Angeles,2015-05-17,71.78
Los Angeles,2015-05-18,78.25999999999999
Los Angeles,2015-05-19,84.02
Los Angeles,2015-05-20,87.61999999999999
Los Angeles,2015-05-21,86.9
Los Angeles,2015-05-22,87.98
Los Angeles,2015-05-23,83.3
Los Angeles,2015-05-24,82.22
Los Angeles,2015-05-25,88.34
Los Angeles,2015-05-26,86.0
Los Angeles,2015-05-27,79.16
Los Angeles,2015-05-28,72.5
Los Angeles,2015-05-29,72.68
Los Angeles,2015-05-30,74.12
Los Angeles,2015-05-31,75.56
Los Angeles,2015-06-01,84.91999999999999
Los Angeles,2015-06-02,90.68
Los Angeles,2015-06-03,92.66
Los Angeles,2015-06-04,89.78
Los Angeles,2015-06-05,80.78
Los Angeles,2015-06-06,74.12
Los Angeles,2015-06-07,73.4
Los Angeles,2015-06-08,78.44
Los Angeles,2015-06-09,85.82
Los Angeles,2015-06-10,83.12
Los Angeles,2015-06-11,80.24000000000001
Los Angeles,2015-06-12,72.14
Los Angeles,2015-06-13,74.66
Los Angeles,2015-06-14,81.68
Los Angeles,2015-06-15,88.34
Los Angeles,2015-06-16,92.66
Los Angeles,2015-06-17,93.91999999999999
Los Angeles,2015-06-18,93.91999999999999
Los Angeles,2015-06-19,90.68
Los Angeles,2015-06-20,81.32
Los Angeles,2015-06-21,78.98
Los Angeles,2015-06-22,75.56
Los Angeles,2015-06-23,78.62
Los Angeles,2015-06-24,87.8
Los Angeles,2015-06-25,92.66
Los Angeles,2015-06-26,90.68
Los Angeles,2015-06-27,87.61999999999999
Los Angeles,2015-06-28,82.4
Los Angeles,2015-06-29,77.18
Los Angeles,2015-06-30,74.3
Los Angeles,2015-07-01,75.56
Los Angeles,2015-07-02,76.46
Los Angeles,2015-07-03,83.3
Los Angeles,2015-07-04,88.16
Los Angeles,2015-07-05,92.66
Los Angeles,2015-07-06,95.53999999999999
Los Angeles,2015-07-07,97.34
Los Angeles,2015-07-08,94.82
Los Angeles,2015-07-09,94.28
Los Angeles,2015-07-10,91.94
Los Angeles,2015-07-11,91.4
Los Angeles,2015-07-12,95.9
Los Angeles,2015-07-13,91.94
Los Angeles,2015-07-14,90.5
Los Angeles,2015-07-15,96.08000000000001
Los Angeles,2015-07-16,100.4
Los Angeles,2015-07-17,107.78
Los Angeles,2015-07-18,118.22
Los Angeles,2015-07-19,121.1
Los Angeles,2015-07-20,118.22
Los Angeles,2015-07-21,110.84
Los Angeles,2015-07-22,99.32
Los Angeles,2015-07-23,94.82
Los Angeles,2015-07-24,95.9
Los Angeles,2015-07-25,101.84
Los Angeles,2015-07-26,101.84
Los Angeles,2015-07-27,104.36
Los Angeles,2015-07-28,110.3
Los Angeles,2015-07-29,109.4
Los Angeles,2015-07-30,107.96000000000001
Los Angeles,2015-07-31,100.22
Los Angeles,2015-08-01,93.74
Los Angeles,2015-08-02,90.5
Los Angeles,2015-08-03,92.48
Los Angeles,2015-08-04,90.14
Los Angeles,2015-08-05,86.36
Los Angeles,2015-08-06,85.46000000000001
Los Angeles,2015-08-07,85.28
Los Angeles,2015-08-08,84.56
Los Angeles,2015-08-09,81.86
Los Angeles,2015-08-10,78.44
Los Angeles,2015-08-11,80.6
Los Angeles,2015-08-12,84.38000000000001
Los Angeles,2015-08-13,87.8
Los Angeles,2015-08-14,89.06
Los Angeles,2015-08-15,87.08000000000001
Los Angeles,2015-08-16,84.74
Los Angeles,2015-08-17,87.61999999999999
Los Angeles,2015-08-18,93.02
Los Angeles,2015-08-19,99.5
Los Angeles,2015-08-20,102.2
Los Angeles,2015-08-21,104.36
Los Angeles,2015-08-22,104.72
Los Angeles,2015-08-23,99.68
Los Angeles,2015-08-24,96.61999999999999
Los Angeles,2015-08-25,87.61999999999999
Los Angeles,2015-08-26,84.91999999999999
Los Angeles,2015-08-27,81.86
Los Angeles,2015-08-28,82.75999999999999
Los Angeles,2015-08-29,82.22
Los Angeles,2015-08-30,84.38000000000001
Los Angeles,2015-08-31,82.04
Los Angeles,2015-09-01,78.25999999999999
Los Angeles,2015-09-02,79.52
Los Angeles,2015-09-03,79.7
Los Angeles,2015-09-04,83.84
Los Angeles,2015-09-05,85.46000000000001
Los Angeles,2015-09-06,90.32
Los Angeles,2015-09-07,89.41999999999999
Los Angeles,2015-09-08,90.5
Los Angeles,2015-09-09,91.76
Los Angeles,2015-09-10,91.58000000000001
Los Angeles,2015-09-11,93.91999999999999
Los Angeles,2015-09-12,90.5
Los Angeles,2015-09-13,84.2
Los Angeles,2015-09-14,85.46000000000001
Los Angeles,2015-09-15,90.86
Los Angeles,2015-09-16,93.56
Los Angeles,2015-09-17,93.02
Los Angeles,2015-09-18,86.9
Los Angeles,2015-09-19,79.7
Los Angeles,2015-09-20,81.86
Los Angeles,2015-09-21,83.48
Los Angeles,2015-09-22,82.22
Los Angeles,2015-09-23,82.22
Los Angeles,2015-09-24,81.14
Los Angeles,2015-09-25,82.94
Los Angeles,2015-09-26,80.42
Los Angeles,2015-09-27,84.56
Los Angeles,2015-09-28,91.22
Los Angeles,2015-09-29,92.3
Los Angeles,2015-09-30,91.58000000000001
Los Angeles,2015-10-01,97.34
Los Angeles,2015-10-02,97.34
Los Angeles,2015-10-03,96.08000000000001
Los Angeles,2015-10-04,93.56
Los Angeles,2015-10-05,91.03999999999999
Los Angeles,2015-10-06,86.18
Los Angeles,2015-10-07,90.86
Los Angeles,2015-10-08,99.86
Los Angeles,2015-10-09,99.14
Los Angeles,2015-10-10,95.53999999999999
Los Angeles,2015-10-11,91.94
Los Angeles,2015-10-12,90.5
Los Angeles,2015-10-13,89.41999999999999
Los Angeles,2015-10-14,97.52
Los Angeles,2015-10-15,97.16
Los Angeles,2015-10-16,90.68
Los Angeles,2015-10-17,81.14
Los Angeles,2015-10-18,85.64
Los Angeles,2015-10-19,98.78
Los Angeles,2015-10-20,100.22
Los Angeles,2015-10-21,102.2
Los Angeles,2015-10-22,102.2
Los Angeles,2015-10-23,103.1
Los Angeles,2015-10-24,97.16
Los Angeles,2015-10-25,85.1
Los Angeles,2015-10-26,79.52
Los Angeles,2015-10-27,80.24000000000001
Los Angeles,2015-10-28,79.34
Los Angeles,2015-10-29,84.38000000000001
Los Angeles,2015-10-30,83.66
Los Angeles,2015-10-31,85.46000000000001
Los Angeles,2015-11-01,69.44
Los Angeles,2015-11-02,71.6
Los Angeles,2015-11-03,67.1
Los Angeles,2015-11-04,64.75999999999999
Los Angeles,2015-11-05,62.6
Los Angeles,2015-11-06,65.84
Los Angeles,2015-11-07,72.32
Los Angeles,2015-11-08,80.06
Los Angeles,2015-11-09,78.44
Los Angeles,2015-11-10,74.66
Los Angeles,2015-11-11,75.02
Los Angeles,2015-11-12,79.16
Los Angeles,2015-11-13,82.22
Los Angeles,2015-11-14,80.06
Los Angeles,2015-11-15,75.92
Los Angeles,2015-11-16,77.0
Los Angeles,2015-11-17,72.68
Los Angeles,2015-11-18,71.06
Los Angeles,2015-11-19,78.98
Los Angeles,2015-11-20,78.8
Los Angeles,2015-11-21,76.1
Los Angeles,2015-11-22,76.1
Los Angeles,2015-11-23,78.25999999999999
Los Angeles,2015-11-24,75.02
Los Angeles,2015-11-25,71.42
Los Angeles,2015-11-26,67.28
Los Angeles,2015-11-27,63.14
Los Angeles,2015-11-28,65.3
Los Angeles,2015-11-29,66.38
Los Angeles,2015-11-30,62.24
Los Angeles,2015-12-01,61.34
Los Angeles,2015-12-02,62.6
Los Angeles,2015-12-03,62.959999999999994
Los Angeles,2015-12-04,60.980000000000004
Los Angeles,2015-12-05,65.84
Los Angeles,2015-12-06,72.14
Los Angeles,2015-12-07,77.0
Los Angeles,2015-12-08,71.06
Los Angeles,2015-12-09,63.32
Los Angeles,2015-12-10,65.84
Los Angeles,2015-12-11,62.6
Los Angeles,2015-12-12,63.14
Los Angeles,2015-12-13,66.2
Los Angeles,2015-12-14,69.25999999999999
Los Angeles,2015-12-15,73.75999999999999
Los Angeles,2015-12-16,77.72
Los Angeles,2015-12-17,80.06
Los Angeles,2015-12-18,80.24000000000001
Los Angeles,2015-12-19,74.66
Los Angeles,2015-12-20,69.25999999999999
Los Angeles,2015-12-21,64.58
Los Angeles,2015-12-22,59.36
Los Angeles,2015-12-23,63.32
Los Angeles,2015-12-24,68.0
Los Angeles,2015-12-25,66.74000000000001
Los Angeles,2015-12-26,68.36
Los Angeles,2015-12-27,70.34
Los Angeles,2015-12-28,71.42
Los Angeles,2015-12-29,72.32
Los Angeles,2015-12-30,72.5
Los Angeles,2015-12-31,73.58
Los Angeles,2016-01-01,77.18
Los Angeles,2016-01-02,80.96
Los Angeles,2016-01-03,81.32
Los Angeles,2016-01-04,79.34
Los Angeles,2016-01-05,79.52
Los Angeles,2016-01-06,77.36
Los Angeles,2016-01-07,75.38
Los Angeles,2016-01-08,72.86
Los Angeles,2016-01-09,74.12
Los Angeles,2016-01-10,75.02
Los Angeles,2016-01-11,73.58
Los Angeles,2016-01-12,75.56
Los Angeles,2016-01-13,76.64
Los Angeles,2016-01-14,72.68
Los Angeles,2016-01-15,74.66
Los Angeles,2016-01-16,76.64
Los Angeles,2016-01-17,81.5
Los Angeles,2016-01-18,84.2
Los Angeles,2016-01-19,80.42
Los Angeles,2016-01-20,76.28
